tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt31459404,tvSeries,Taj,Taj,0,2024.0,2024.0,45.0,"Action,Drama,History",7.6,215
tt5827228,tvSeries,Bull,Bull,0,2016.0,2022.0,60.0,"Comedy,Crime,Drama",7.1,24522
tt0302135,tvMiniSeries,Marshall Law,Marshall Law,0,2002.0,2002.0,50.0,Drama,6.0,74
tt0103485,tvSeries,Mama Is a 4th Grader,Mama wa shôgaku yonensei,0,1992.0,1992.0,25.0,"Animation,Drama,Sci-Fi",7.5,169
tt11748450,tvSeries,Verona,Verona,0,1986.0,1989.0,23.0,Comedy,8.1,9
tt0439092,tvSeries,Sueños y caramelos,Sueños y caramelos,0,2005.0,2005.0,60.0,"Drama,Family",6.6,38
tt0108881,tvSeries,Noddy's Toyland Adventures,Noddy's Toyland Adventures,0,1992.0,2000.0,10.0,"Animation,Family",6.0,267
tt10293322,tvMiniSeries,"Ah, så det er SÅNN det er","Ah, så det er SÅNN det er",0,2010.0,2010.0,5.0,Comedy,9.1,14
tt3496764,tvSeries,Gortimer Gibbon's Life on Normal Street,Gortimer Gibbon's Life on Normal Street,0,2014.0,2016.0,23.0,"Adventure,Family,Fantasy",8.3,1904
tt3952574,tvSeries,Triton of the Sea,Umi no Toriton,0,1972.0,1972.0,23.0,"Action,Adventure,Animation",6.4,103
tt0259145,tvSeries,Kristin,Kristin,0,2001.0,2001.0,30.0,Comedy,6.0,164
tt0217193,tvSeries,Cristal,Cristal,0,1985.0,1986.0,60.0,"Drama,Romance",5.7,123
tt0108950,tvSeries,Szomszédok,Szomszédok,0,1987.0,1999.0,30.0,"Drama,Family,Romance",6.7,986
tt10598772,tvMiniSeries,Fahad Al Askkar Al Rehla Wa Al Raheel,Fahad Al Askkar Al Rehla Wa Al Raheel,0,1979.0,1979.0,60.0,"Biography,Drama",7.4,12
tt14631892,tvSeries,Dead Lilies,Dead Lilies,0,2021.0,2021.0,45.0,Drama,5.9,11
tt0053533,tvSeries,The Roaring 20's,The Roaring 20's,0,1960.0,1962.0,60.0,"Crime,Drama",8.0,209
tt0235916,tvSeries,ChalkZone,ChalkZone,0,1998.0,2009.0,22.0,"Adventure,Animation,Comedy",6.5,4142
tt28972104,tvMiniSeries,Fatal Temptation: Between Two Alphas,Fatal Temptation: Between Two Alphas,0,2023.0,2023.0,2.0,"Action,Drama,Fantasy",7.4,80
tt0278256,tvSeries,Wolf Blitzer Reports,Wolf Blitzer Reports,0,2002.0,2005.0,30.0,Talk-Show,2.7,29
tt0081829,tvMiniSeries,Babels hus,Babels hus,0,1981.0,1981.0,240.0,Drama,7.0,129
tt0084968,tvSeries,Ace Crawford... Private Eye,Ace Crawford... Private Eye,0,1983.0,1983.0,30.0,"Comedy,Mystery",6.4,119
tt0407461,tvSeries,Wild West Tech,Wild West Tech,0,2003.0,2005.0,60.0,"Documentary,History,Western",8.2,201
tt1615919,tvSeries,Raising Hope,Raising Hope,0,2010.0,2014.0,22.0,"Comedy,Family",8.0,43514
tt7893758,tvMiniSeries,The Hairy Bikers' Mediterranean Adventure,The Hairy Bikers' Mediterranean Adventure,0,2018.0,2018.0,60.0,Reality-TV,7.7,55
tt0103546,tvSeries,Side by Side,Side by Side,0,1992.0,1993.0,30.0,Comedy,7.7,18
tt1076950,tvSeries,El síndrome de Ulises,El síndrome de Ulises,0,2007.0,2008.0,70.0,"Comedy,Drama",4.3,151
tt0382397,tvSeries,Algebra um acht,Algebra um acht,0,1972.0,1974.0,25.0,Family,8.4,24
tt0083395,tvSeries,Cagney & Lacey,Cagney & Lacey,0,1981.0,1988.0,60.0,"Crime,Drama,Mystery",6.9,5967
tt0275160,tvSeries,Fabrixx,Fabrixx,0,2000.0,2005.0,25.0,"Drama,Romance",6.4,32
tt0098945,tvSeries,Waiting for God,Waiting for God,0,1990.0,1994.0,30.0,Comedy,7.8,2238
tt26422125,tvSeries,Prestige,Prestizh,0,2023.0,2024.0,48.0,"Comedy,Drama,Mystery",6.2,148
tt13064902,tvSeries,FUBAR,Fubar,0,2023.0,2025.0,55.0,"Action,Adventure,Comedy",6.5,46542
tt6071060,tvSeries,Jerks,Jerks,0,2017.0,2023.0,22.0,Comedy,8.5,4288
tt10752444,tvSeries,The Making of an Ordinary Woman,Su nü yang cheng ji,0,2019.0,2019.0,47.0,"Comedy,Drama",8.5,957
tt7450528,tvSeries,Kammal,Kammal,0,2002.0,2003.0,20.0,Drama,4.3,10
tt0132666,tvSeries,The Wonderful World of Disney,The Wonderful World of Disney,0,1997.0,2023.0,120.0,"Adventure,Comedy,Drama",7.4,1130
tt16156942,tvSeries,Hymyä!,Hymyä!,0,2022.0,2022.0,41.0,Drama,5.9,61
tt0346299,tvMiniSeries,I Love the '80s,I Love the '80s,0,2002.0,2002.0,60.0,"Comedy,Documentary,History",8.5,1715
tt0361237,tvSeries,Saastamoisen poika,Saastamoisen poika,0,1989.0,1989.0,25.0,Comedy,5.2,14
tt8192394,tvSeries,Al Rahaya,Al Rahaya,0,2009.0,2009.0,45.0,Drama,7.1,91
tt4869896,tvSeries,Overlord,Ôbârôdo,0,2015.0,2022.0,30.0,"Action,Adventure,Animation",7.6,19496
tt39277519,tvMiniSeries,Time Flies,El tiempo de las moscas,0,2026.0,2026.0,30.0,"Comedy,Crime,Drama",5.5,307
tt10514204,tvSeries,Shokin kasegi,Shokin kasegi,0,1975.0,1975.0,990.0,Drama,8.2,13
tt0251511,tvSeries,Goldie Gold and Action Jack,Goldie Gold and Action Jack,0,1981.0,1981.0,30.0,"Adventure,Animation",7.4,101
tt0362819,tvMiniSeries,Leonardo,Leonardo,0,2003.0,2003.0,180.0,"Documentary,History",8.0,192
tt0988932,tvSeries,Total Recall,Total Recall,0,1994.0,1995.0,24.0,Game-Show,4.0,12
tt1424033,tvSeries,07-Ghost,07-Ghost,0,2009.0,2009.0,23.0,"Action,Animation,Drama",6.8,674
tt0077013,tvSeries,Future Boy Conan,Mirai shônen Konan,0,1978.0,1978.0,24.0,"Adventure,Animation,Comedy",8.8,5770
tt6519274,tvMiniSeries,Unusual World,Unusual World,0,2008.0,2008.0,52.0,"Documentary,Family",7.7,7
tt0208071,tvSeries,A Country Practice,A Country Practice,0,1994.0,1994.0,50.0,Drama,6.4,59
tt2387414,tvSeries,Water and Power,Water and Power,0,2008.0,2009.0,5.0,"Comedy,Crime,Drama",5.8,47
tt7972346,tvSeries,Dilli Wali Thakur Gurls,Dilli Wali Thakur Gurls,0,2015.0,2015.0,20.0,Drama,8.2,29
tt12788432,tvSeries,Minning Town,Shan hai qing,0,2021.0,2021.0,45.0,Drama,8.5,268
tt7062944,tvSeries,Mèng l de yqin dào qiáng,Mèng l de yqin dào qiáng,0,2017.0,2017.0,90.0,"Drama,Mystery",4.8,19
tt29472571,tvSeries,Temptation Island: Brazil,Ilha da Tentação: Brasil,0,2024.0,2024.0,50.0,Reality-TV,5.8,70
tt10545250,tvMiniSeries,Eden,Eden,0,2021.0,2021.0,25.0,"Action,Adventure,Animation",6.6,1671
tt36539443,tvMiniSeries,Magiya serdtsa,Magiya serdtsa,0,2025.0,2025.0,45.0,"Drama,Mystery,Romance",8.1,8
tt0211892,tvSeries,Ángela,Ángela,0,1998.0,2002.0,45.0,"Drama,Romance",7.8,105
tt7004786,tvMiniSeries,Blanket Cats,Blanket Cats,0,2017.0,2017.0,49.0,Comedy,7.3,28
tt15747154,tvSeries,K2 zoekt mee,K2 zoekt mee,0,2021.0,2021.0,15.0,Reality-TV,8.6,7
tt11348650,tvSeries,Argo's World,Argo's World,0,2019.0,2019.0,22.0,"Adventure,Animation,Family",8.8,6
tt19064770,tvSeries,The Angel Next Door Spoils Me Rotten,Otonari no tenshi-sama ni itsu no ma ni ka dame-ningen ni sareteita ken,0,2023.0,2026.0,24.0,"Animation,Comedy,Drama",7.8,7561
tt1230187,tvSeries,Dear Enemy,Querida enemiga,0,2008.0,2008.0,42.0,"Drama,Romance",7.3,124
tt0291343,tvSeries,Pilot Candidate,Megami kouhosei,0,2000.0,2000.0,24.0,"Action,Animation,Drama",5.8,249
tt7005636,tvSeries,State of Happiness,Lykkeland,0,2018.0,2024.0,45.0,"Drama,History",7.9,3899
tt31888124,tvMiniSeries,A Bride is Needed,A Bride is Needed,0,1990.0,1990.0,40.0,Comedy,7.4,14
tt5890956,tvSeries,Standby,Seutaenbai,0,2012.0,2012.0,23.0,Comedy,8.5,91
tt9486226,tvSeries,Les de l'hoquei,Les de l'hoquei,0,2019.0,2020.0,50.0,"Drama,Sport",6.9,613
tt0096664,tvSeries,Nightingales,Nightingales,0,1989.0,1989.0,60.0,Drama,7.1,103
tt0078649,tvMiniSeries,A Man Called Intrepid,A Man Called Intrepid,0,1979.0,1979.0,360.0,"Adventure,Drama,War",6.8,204
tt8532472,tvSeries,Tanja ja kuuro Eurooppa,Tanja ja kuuro Eurooppa,0,2018.0,2018.0,30.0,Documentary,5.6,7
tt2309302,tvMiniSeries,My Little Monster,Tonari no kaibutsu-kun,0,2012.0,2012.0,24.0,"Animation,Comedy,Romance",7.1,6449
tt2851244,tvSeries,Margosha,Margosha,0,2009.0,2011.0,46.0,"Comedy,Drama,Fantasy",4.5,196
tt0386200,tvSeries,A Game of Murder,A Game of Murder,0,1966.0,1966.0,30.0,Thriller,7.8,70
tt1024701,tvSeries,JPod,JPod,0,2008.0,2008.0,60.0,"Comedy,Drama",7.5,1057
tt0049992,tvSeries,Alcoa Theatre,Alcoa Theatre,0,1957.0,1960.0,30.0,Drama,7.4,98
tt0053509,tvSeries,Hot Off the Wire,Hot Off the Wire,0,1960.0,1961.0,30.0,Comedy,7.0,63
tt0418430,tvSeries,The Strange Affair of Adelaide Harris,The Strange Affair of Adelaide Harris,0,1979.0,1979.0,30.0,"Drama,Family",8.2,13
tt10633986,tvMiniSeries,Supergeroi,Supergeroi,0,2013.0,2013.0,350.0,Comedy,6.3,22
tt28638031,tvSeries,Aakhri Sach,Aakhri Sach,0,2023.0,2023.0,25.0,Thriller,5.6,1765
tt3692292,tvMiniSeries,A Thirty-Year Old's Health and Physical Education,30-sai no hoken taiiku,0,2011.0,2011.0,13.0,"Animation,Comedy,Fantasy",5.7,117
tt6664638,tvMiniSeries,Pulse,Pulse,0,2017.0,2017.0,60.0,Drama,6.9,405
tt2360219,tvSeries,I leilasia mias zois,I leilasia mias zois,0,1978.0,1979.0,45.0,"Drama,Romance",7.8,6
tt7989764,tvSeries,Unutabilsem,Unutabilsem,0,1998.0,1999.0,40.0,Drama,5.8,61
tt32250032,tvSeries,The Brave Yongsujeong,The Brave Yongsujeong,0,2024.0,2024.0,35.0,"Comedy,Drama,Family",6.1,21
tt4975856,tvSeries,Future Man,Future Man,0,2017.0,2020.0,30.0,"Action,Adventure,Comedy",7.6,33929
tt34057816,tvMiniSeries,The ABC Killer,The ABC Killer,0,2025.0,2025.0,47.0,"Crime,Documentary",8.1,15
tt1482616,tvSeries,Judge Jeanine Pirro,Judge Jeanine Pirro,0,2008.0,2011.0,60.0,Reality-TV,4.3,159
tt1484626,tvSeries,Giuliana & Bill,Giuliana & Bill,0,2009.0,2014.0,43.0,"Drama,Family,Reality-TV",4.7,415
tt30698512,tvSeries,Vyzhivshie. BLOGGGER,Vyzhivshie. BLOGGGER,0,2021.0,2021.0,11.0,"Drama,Sci-Fi,Thriller",6.5,20
tt0476937,tvSeries,Sam and Friends,Sam and Friends,0,1955.0,1961.0,5.0,Family,6.8,187
tt0941993,tvSeries,The Palace,The Palace,0,2008.0,2008.0,60.0,Drama,7.1,515
tt0492862,tvMiniSeries,Selambs,Selambs,0,1979.0,1979.0,528.0,Drama,7.6,20
tt0847611,tvSeries,O Bando dos Quatro,O Bando dos Quatro,0,2006.0,2007.0,40.0,Adventure,5.6,79
tt14482414,tvSeries,Racket Boys,Raketsonyeondan,0,2021.0,2021.0,80.0,"Comedy,Drama,Sport",5.2,30253
tt37391074,tvSeries,Berlin '23,Berlin '23,0,2026.0,2026.0,50.0,Mystery,4.9,37
tt14075028,tvSeries,Jessica's Big Little World,Jessica's Big Little World,0,2023.0,2024.0,18.0,"Adventure,Animation,Comedy",6.3,177
tt4432684,tvSeries,Your Family,To soi sou,0,2014.0,2026.0,35.0,"Comedy,Family",7.3,988
tt0810635,tvSeries,Hold Tight!,Hold Tight!,0,1982.0,1987.0,25.0,"Family,Game-Show,Music",8.4,15
tt2338467,tvMiniSeries,Air Force One Is Down,Air Force One Is Down,0,2013.0,2013.0,180.0,Action,4.2,719
tt13660780,tvMiniSeries,A Tale of Thousand Stars,1000Stars,0,2021.0,2021.0,65.0,"Drama,Romance",8.6,4575
tt14153438,tvSeries,Aliens in Alaska,Aliens in Alaska,0,2021.0,2022.0,42.0,Documentary,5.8,209
tt39387440,tvSeries,Sold Out on You,Sold Out on You,0,2026.0,2026.0,60.0,"Comedy,Drama,Romance",6.9,1715
tt6928618,tvMiniSeries,Drama: The Web Series,Drama: The Web Series,0,2015.0,2015.0,36.0,Comedy,8.5,10
tt0296435,tvSeries,Treasure Island,Takarajima,0,1978.0,1979.0,24.0,"Action,Adventure,Animation",8.4,1610
tt6128376,tvSeries,The Gong Show,The Gong Show,0,2017.0,2018.0,60.0,Game-Show,6.9,681
tt0439410,tvSeries,Young Blades,Young Blades,0,2005.0,2005.0,60.0,"Action,Adventure,Comedy",6.3,335
tt6465378,tvMiniSeries,Birds of Paradise: The Ultimate Quest,Birds of Paradise: The Ultimate Quest,0,2017.0,2017.0,60.0,Documentary,6.2,14
tt0772210,tvSeries,Dogstar,Dogstar,0,2006.0,2012.0,25.0,"Adventure,Animation,Comedy",7.5,265
tt9415650,tvSeries,Rejsen til slagmarken,Rejsen til slagmarken,0,2016.0,2018.0,29.0,History,8.2,6
tt3396776,tvMiniSeries,Kossuthkifli,Kossuthkifli,0,2015.0,2015.0,312.0,"Adventure,Comedy,Fantasy",5.9,219
tt1289380,tvMiniSeries,The Punishment,El castigo,0,2008.0,2008.0,180.0,Thriller,5.3,152
tt1584835,tvMiniSeries,Beauregard,Beauregard,0,2009.0,2009.0,185.0,Drama,6.8,30
tt0066693,tvSeries,"O'Hara, U.S. Treasury",O'Hara United States Treasury,0,1971.0,1972.0,60.0,Drama,7.3,200
tt0072522,tvSeries,Joe Forrester,Joe Forrester,0,1975.0,1976.0,60.0,"Crime,Drama",7.0,102
tt0101230,tvSeries,Urban Angel,Urban Angel,0,1991.0,1992.0,60.0,"Adventure,Crime,Drama",8.0,52
tt0246370,tvSeries,At the Faber,Hotellet,0,2000.0,2002.0,45.0,Drama,6.2,192
tt22869654,tvSeries,Katakulli 3: Tuzak,Katakulli 3: Tuzak,0,2022.0,2022.0,89.0,Comedy,4.5,131
tt0210414,tvSeries,Colégio Brasil,Colégio Brasil,0,1996.0,1996.0,40.0,"Drama,Family",7.7,13
tt6153094,tvSeries,Marie fängt Feuer,Marie fängt Feuer,0,2016.0,2025.0,89.0,Romance,4.1,75
tt14734578,tvSeries,Obama: In Pursuit of a More Perfect Union,Obama: In Pursuit of a More Perfect Union,0,2021.0,2021.0,90.0,"Biography,Documentary",6.7,1220
tt0419385,tvSeries,ZOOP,ZOOP,0,2004.0,2006.0,12.0,"Comedy,Drama,Family",6.0,196
tt14542020,tvSeries,The Fog of Murder,The Fog of Murder,0,2021.0,2021.0,45.0,"Crime,Mystery,Thriller",6.2,86
tt13912584,tvSeries,A Perfect Family,Idealnaya semya,0,2020.0,2020.0,26.0,Comedy,6.1,47
tt16364914,tvMiniSeries,Älskade Husby,Älskade Husby,0,2020.0,2020.0,58.0,Documentary,7.1,14
tt15424742,tvSeries,The Dark Heart,Mörkt hjärta,0,2022.0,2022.0,225.0,"Crime,Drama,Thriller",6.6,1092
tt9174630,tvSeries,The Horror of Dolores Roach,The Horror of Dolores Roach,0,2023.0,2023.0,29.0,"Comedy,Drama,Horror",7.1,6529
tt0185822,tvSeries,CNN Showbiz Today,Showbiz Today,0,1984.0,2005.0,45.0,News,4.5,119
tt11569530,tvSeries,Just Add Magic: Mystery City,Just Add Magic: Mystery City,0,2020.0,2020.0,27.0,"Adventure,Comedy,Drama",7.1,905
tt0224475,tvSeries,Eldorado for dyr,Eldorado for dyr,0,1985.0,1985.0,5.0,Family,5.0,5
tt6724526,tvMiniSeries,Granzort: Adventure,Madô kingu Granzort: Bôken-hen,0,1992.0,1992.0,30.0,"Action,Animation,Comedy",4.4,13
tt0103585,tvSeries,You Bet Your Life,You Bet Your Life,0,1992.0,1993.0,30.0,Game-Show,4.3,28
tt2246424,tvSeries,The American Bible Challenge,The American Bible Challenge,0,2012.0,2014.0,60.0,"Family,Game-Show",6.8,144
tt3686276,tvSeries,Politistationen,Politistationen,0,2009.0,2012.0,45.0,Reality-TV,8.0,6
tt12153588,tvSeries,Thirumathi Selvam,Thirumathi Selvam,0,2007.0,2013.0,16.0,Drama,7.3,103
tt0077018,tvSeries,Greatest Heroes of the Bible,Greatest Heroes of the Bible,0,1978.0,1979.0,510.0,"Drama,Family,History",6.3,190
tt9590698,tvSeries,PMTA,PMTA,0,2018.0,2021.0,40.0,"Crime,Drama",7.9,164
tt7099552,tvSeries,The Departed,Gorod,0,2017.0,2018.0,50.0,Drama,7.5,101
tt28506744,tvSeries,Anak Jalanan: A New Beginning,Anak Jalanan: A New Beginning,0,2021.0,2022.0,52.0,"Action,Drama,Romance",8.8,16
tt0176386,tvMiniSeries,La poupée sanglante,La poupée sanglante,0,1976.0,1976.0,110.0,"Fantasy,Horror,Mystery",7.9,93
tt1951552,tvSeries,The Brazilians: The Women,As Brasileiras,0,2012.0,2012.0,25.0,"Comedy,Drama,Romance",7.0,227
tt0375247,tvSeries,Al ataque,Al ataque,0,1992.0,1993.0,120.0,Comedy,6.9,23
tt5052460,tvSeries,Taken,Taken,0,2017.0,2018.0,41.0,"Action,Drama,Thriller",6.6,12469
tt0098871,tvSeries,The New Adventures of Black Beauty,The New Adventures of Black Beauty,0,1990.0,1992.0,25.0,"Drama,Family",6.8,78
tt9716950,tvMiniSeries,Monty Don's Japanese Gardens,Monty Don's Japanese Gardens,0,2019.0,2019.0,59.0,Documentary,8.0,115
tt3738656,tvMiniSeries,"Pain, Pus & Poison: The Search for Modern Medicines","Pain, Pus & Poison: The Search for Modern Medicines",0,2013.0,2013.0,60.0,Documentary,8.5,169
tt22186268,tvSeries,Inter-Stitch-als,Inter-Stitch-als,0,2001.0,2002.0,1.0,"Animation,Comedy,Sci-Fi",8.1,24
tt1914042,tvSeries,The LeBrons,The LeBrons,0,2011.0,2014.0,6.0,"Animation,Comedy,Family",4.4,222
tt0072489,tvSeries,The Cuckoo Waltz,The Cuckoo Waltz,0,1975.0,1977.0,30.0,Comedy,6.6,124
tt0461627,tvSeries,The Helmetcam Show,The Helmetcam Show,0,1996.0,2000.0,25.0,Comedy,7.5,14
tt10857356,tvSeries,Oishinbo,Oishinbo,0,1988.0,1992.0,23.0,"Animation,Comedy,Drama",7.6,55
tt0122841,tvSeries,Vibe,Vibe,0,1997.0,1998.0,60.0,"Comedy,Music,Talk-Show",6.1,21
tt0066630,tvSeries,The Beachcombers,The Beachcombers,0,1972.0,2004.0,30.0,"Adventure,Comedy",7.2,710
tt1354413,tvSeries,Parea me ton Antrea,Parea me ton Antrea,0,2009.0,2009.0,120.0,Talk-Show,2.6,11
tt0220626,tvSeries,M-U-S-H,M-U-S-H,0,1975.0,1975.0,6.0,"Animation,Comedy",6.3,27
tt5866252,tvSeries,King of the Road,King of the Road,0,2016.0,2018.0,60.0,"Documentary,Reality-TV,Sport",8.9,515
tt8498114,tvSeries,The Ballad of Hugo Sánchez,La Balada de Hugo Sanchez,0,2018.0,2018.0,36.0,"Comedy,Drama,Sport",6.5,987
tt29054716,tvSeries,Bakuage Sentai Boonboomger,Bakuage Sentai Boonboomger,0,2024.0,2025.0,24.0,"Action,Adventure,Comedy",7.7,259
tt12693148,tvMiniSeries,The Hunt for a Killer,Jakten på en mördare,0,2020.0,2020.0,45.0,"Crime,Drama,Mystery",7.4,2367
tt1765453,tvSeries,Thank You,Thank You,0,2007.0,2007.0,60.0,Drama,7.8,338
tt28627722,tvSeries,Fever Pitch: The Battle for the Premier League,Fever Pitch: The Battle for the Premier League,0,2022.0,2022.0,181.0,"Documentary,Sport",7.9,75
tt33038084,tvSeries,Nulevye,Nulevye,0,2022.0,2022.0,40.0,Documentary,6.6,7
tt0143050,tvSeries,Love Boat: The Next Wave,Love Boat: The Next Wave,0,1998.0,1999.0,60.0,"Comedy,Drama,Romance",4.6,542
tt18183216,tvMiniSeries,L'escroc: L'affaire Norbourg,L'escroc: L'affaire Norbourg,0,2022.0,2022.0,45.0,Documentary,8.8,6
tt21420330,tvMiniSeries,Wen dürfen wir essen?,Wen dürfen wir essen?,0,2022.0,2022.0,33.0,Documentary,9.1,16
tt7342216,tvMiniSeries,Adult School,Otona kôkô,0,2017.0,2017.0,54.0,Comedy,5.8,41
tt8300566,tvMiniSeries,Minecraft Miniseries: Challenge of the Spooky Isles,Minecraft Miniseries: Challenge of the Spooky Isles,0,2017.0,2017.0,9.0,Animation,7.1,11
tt0412162,tvSeries,Kevin Hill,Kevin Hill,0,2004.0,2005.0,60.0,"Drama,Romance",6.7,820
tt9241588,tvSeries,The Ghosts of Adly Allam,The Ghosts of Adly Allam,0,2017.0,2017.0,45.0,"Comedy,Drama,Fantasy",5.5,215
tt15280526,tvSeries,Battle Spirits: Mirage,Batoru Supirittsu Mirâju,0,2021.0,2022.0,24.0,"Action,Adventure,Animation",4.0,15
tt0331731,tvSeries,Bullerfnis,Bullerfnis,0,1990.0,1992.0,28.0,Family,7.6,90
tt2339980,tvSeries,Kaijudo: Rise of the Duel Masters,Kaijudo: Rise of the Duel Masters,0,2012.0,2013.0,30.0,"Action,Adventure,Animation",6.7,309
tt7249288,tvSeries,In Search of the Dark Ages,In Search of the Dark Ages,0,1979.0,1981.0,40.0,"Biography,Documentary,History",8.4,39
tt1298884,tvSeries,Bozo: The World's Most Famous Clown,Bozo: The World's Most Famous Clown,0,1958.0,1962.0,5.0,"Animation,Comedy",7.2,66
tt14026616,tvSeries,Corbin's Ride On,Corbin's Ride On,0,2016.0,2020.0,22.0,"Adventure,Sport",9.1,12
tt4536308,tvSeries,Ek Rishta Aisa Bhi,Ek Rishta Aisa Bhi,0,2014.0,2015.0,22.0,Drama,6.1,9
tt13782224,tvSeries,Yeu Kashi Tashi Me Nandayala,Yeu Kashi Tashi Me Nandayala,0,2021.0,2022.0,30.0,Comedy,2.3,224
tt0362345,tvSeries,"La Granja, menjars casolans","La Granja, menjars casolans",0,1989.0,1992.0,25.0,Drama,8.3,25
tt1821128,tvSeries,Rafaela,Rafaela,0,2011.0,2011.0,42.0,Drama,6.7,71
tt32812118,tvMiniSeries,I'll Become a Villainess Who Goes Down in History,Rekishi ni Nokoru Akujo ni Naru zo,0,2024.0,2024.0,24.0,"Animation,Comedy,Fantasy",7.1,1424
tt2361025,tvSeries,Verrückt nach Meer,Verrückt nach Meer,0,2010.0,2022.0,50.0,Reality-TV,6.8,44
tt2017048,tvSeries,Youthful Daze,Youthful Daze,0,2012.0,2016.0,10.0,Drama,6.8,84
tt28786129,tvMiniSeries,Ninjago: Wu's Teas,Ninjago: Wu's Teas,0,2017.0,2017.0,1.0,"Animation,Comedy,Family",8.0,49
tt0286371,tvSeries,Moon Dreamers,Moon Dreamers,0,1986.0,1987.0,30.0,"Adventure,Animation,Family",7.0,147
tt0451460,tvSeries,Handy Manny,Handy Manny,0,2006.0,2013.0,24.0,"Animation,Comedy,Family",5.6,3327
tt5339462,tvSeries,Sandokan - The Tiger of Malaysia,Sandokan - La tigre della Malesia,0,1998.0,2009.0,25.0,"Adventure,Animation",7.6,116
tt0898332,tvSeries,Samantha Who?,Samantha Who?,0,2007.0,2009.0,22.0,"Comedy,Mystery,Romance",7.3,11805
tt1339221,tvSeries,Crime Scene Wild,Crime Scene Wild,0,2007.0,2008.0,360.0,Documentary,8.7,26
tt0090488,tvSeries,The New Gidget,The New Gidget,0,1986.0,1988.0,30.0,Comedy,6.3,986
tt35435624,tvMiniSeries,Surviving Black Hawk Down,Surviving Black Hawk Down,0,2025.0,2025.0,60.0,"Documentary,History,War",7.4,4253
tt8341304,tvSeries,Donne,Donne,0,2016.0,2016.0,10.0,Drama,5.9,11
tt1441128,tvSeries,Dosije,Dosije,0,1986.0,1986.0,60.0,"Crime,Mystery,Thriller",7.1,24
tt9023054,tvSeries,Mahalasi,Mahalasi,0,2009.0,2009.0,30.0,Comedy,4.8,8
tt9521236,tvSeries,Pevitsa,Pevitsa,0,2016.0,2017.0,45.0,"Drama,Music,Romance",4.8,12
tt3609456,tvSeries,Reina de corazones,Reina de corazones,0,2014.0,2014.0,42.0,"Drama,Romance",7.5,410
tt8083950,tvSeries,Miracle That We Met,Wooriga Mannan Kijeok,0,2018.0,2018.0,60.0,Drama,7.6,211
tt1194600,tvSeries,Tutti pazzi per amore,Tutti pazzi per amore,0,2008.0,2012.0,50.0,Romance,7.3,269
tt0441933,tvSeries,La mandrágora,La mandrágora,0,1997.0,2010.0,30.0,News,6.6,39
tt12055222,tvSeries,Morozov,Ded Morozov,0,2020.0,2023.0,50.0,"Drama,War",6.3,33
tt0053480,tvSeries,Angel,Angel,0,1960.0,1961.0,30.0,Comedy,6.9,66
tt0357382,tvSeries,Message à caractère informatif,Message à caractère informatif,0,1998.0,2000.0,3.0,Comedy,8.0,72
tt0483846,tvSeries,Moving Pictures,Moving Pictures,0,1990.0,1996.0,40.0,Documentary,5.8,34
tt1655081,tvSeries,Junior Apprentice,Junior Apprentice,0,2010.0,2012.0,60.0,Reality-TV,6.7,133
tt0364008,tvMiniSeries,Skin,Skin,0,2003.0,2005.0,60.0,Drama,6.5,283
tt8435344,tvSeries,ThunderCats Roar,ThunderCats Roar,0,2020.0,2020.0,11.0,"Action,Animation,Comedy",2.2,2992
tt12788748,tvSeries,Red Panty,Red Panty,0,2019.0,2019.0,26.0,Drama,7.7,58
tt10160672,tvMiniSeries,The Road to Ofrynio,Pros Ofrynio,0,1984.0,1984.0,45.0,Drama,8.0,7
tt0055675,tvSeries,The Gallant Men,The Gallant Men,0,1962.0,1963.0,60.0,"Action,Drama,War",8.0,174
tt2174367,tvSeries,Comic Book Men,Comic Book Men,0,2012.0,2018.0,22.0,"Comedy,Reality-TV",7.7,5730
tt14223858,tvMiniSeries,This Is a Robbery: The World's Greatest Art Heist,This Is a Robbery: The World's Biggest Art Heist,0,2021.0,2021.0,53.0,"Crime,Documentary,History",6.5,5158
tt6874010,tvSeries,Ar3na,Ar3na,0,2017.0,2017.0,44.0,"Drama,Romance",5.3,11
tt9889066,tvSeries,My Fellow Citizens,Gungmin Yeoreobun,0,2019.0,2019.0,35.0,"Comedy,Crime,Romance",6.9,310
tt1623411,tvSeries,Jokiemme helmet,Jokiemme helmet,0,2006.0,2006.0,30.0,Documentary,7.2,10
tt2146501,tvSeries,Hitler's Germany,Hitler's Germany,0,1976.0,1976.0,90.0,"Documentary,War",8.0,52
tt21211412,tvMiniSeries,Lance-Dur,Lance-Dur,0,2023.0,2023.0,11.0,"Action,Adventure,Animation",8.1,38
tt32097426,tvMiniSeries,Cooking Up Murder: Uncovering the Story of César Román,Cooking Up Murder: Uncovering the Story of César Román,0,2024.0,2024.0,50.0,"Crime,Documentary",6.1,1256
tt13005652,tvMiniSeries,Stonehouse,Stonehouse,0,2023.0,2023.0,60.0,"Biography,Comedy,Drama",6.8,3581
tt9679542,tvSeries,Dr. Stone,Dr.STONE,0,2019.0,2026.0,24.0,"Action,Adventure,Animation",8.1,43816
tt0990536,tvSeries,Bodyshock,Bodyshock,0,2003.0,2014.0,45.0,Documentary,7.3,38
